,primary_62d,wf_mar,wf_apr,wf_may,mean_gain
dev_amt_mean_6h,0.0004354560596645191,0.0002511250436363854,0.0004259450862858956,0.00028774134254499383,0.0003500668830329485
gr_comp_size,0.00028533577988615224,0.0005428355288762071,0.0003239494583871059,0.0001365562341535498,0.00032216925032575375
dev_n_1h,0.0005017015407711024,7.785114019795548e-05,8.756361023553677e-05,0.000540095373374824,0.00030180291614485464
cust_prior_nmcat,0.0003306168421240741,0.00032886738931155174,0.0003461032084891619,0.00018778181327632357,0.0002983423133002778
cust_new_dev_24h,0.0003214463996702079,6.715692463751435e-05,0.0005539607299105335,0.00020613503059089424,0.00028717477120228754
cust_categ_prior_n,0.00039474651329378954,0.00019990336959444777,0.00026455151386796914,0.00026074287990618785,0.00027998606916559857
days_since_signup,0.0002293058282145276,0.0003272905789772359,0.0002978473269742021,0.00022521131574651092,0.00026991376247811915
cust_ttype_prior_n,0.00030377284586864054,0.00022187838676498262,0.00025797720342899614,0.00027861293389180126,0.00026556034248860516
g_comp_n_cust,0.0002464831490349074,0.0004672064035098094,0.00022187945243054964,9.734217848966294e-05,0.0002582277958662323
cust_amt_mean_6h,0.00032821225454888185,0.0001986856634313715,0.0002567951710817355,0.0002376053662977412,0.0002553246138399325
dow_cos,0.000258225029576984,0.00019757668852490339,0.00029759378387704175,0.0002665536052847179,0.00025498727681591175
is_deep_night,0.00011506199552612601,0.000458051396861435,0.00037491345309566406,4.929016733261924e-05,0.0002493292532039611
cust_amt_sum_24h,0.0002884110743493427,0.0001880823087622551,0.0003276864955940728,0.00014448242797535706,0.0002371655766702569
cust_prior_nmerch,0.0001395822397543884,0.0003152094635068338,0.00036129800008088964,0.00013239592130294783,0.0002371214061612649
g_cust_degree_dev,0.0002893903052428923,0.0001643362667348596,0.00013687839041684786,0.0002150157227327083,0.00020140517128182703
dev_n_168h,0.0001976452404014319,0.0003341582035098461,0.00012954640001509735,0.00011659437470555882,0.00019448605465798355
cust_amt_sum_1h,0.0002458225182943313,8.428181651825965e-05,0.0001621912709628507,0.0002646153333507556,0.0001892277347815493
dev_new_cust_168h,0.0001607539007624888,0.0002199157765948691,0.00018535057279171337,0.00018592339050459372,0.00018798591016341626
cust_new_dev_168h,0.00010245267545919331,0.0002860192886839807,0.00017400499388038488,0.00014444664504640668,0.00017673090076749138
gr_comp_n_cust,0.00020225708133754375,0.0001245844696137809,0.0002631296141070808,9.287003903181573e-05,0.0001707103010225553
custdev_share_24h,0.00015525954027338965,0.00020267636093917197,0.00016133649274131698,0.0001540484386311404,0.00016833020814625472
gr_dev_degree_cust,0.00016087478308130627,0.00019938313378566687,0.00020418747015766848,0.00010812161835716803,0.00016814175134545242
